,Item_id,Price,Street,Neighborhood,Parking,Balconies,Size,Floors,Asset_classification,Ac,Furniture,Handicapped,Immediate,Floors_text,Street_id,Rooms,Floor,Shelter,On_pillars,Elevator,Storeroom,Lat,Long,City,City_code,Date_added,Date_of_entry,Neighborhood_id,Garden_size,Home_number,Agency,Images,Text,Asset_type,Broker,Accuracy,Date,Last_update,Valid,Build_year,Year,Distance_sea,Train,Age,Neighborhood_rank,Street_rank,Gush_rank,Helka_rank,Predicted,Difference
87,fxfzp31r,"4,280,000 ₪",פינלס,הצפון החדש - צפון,1,1.0,72.0,7.0,1.0,1.0,1.0,1.0,0.0,7.0,801.0,3.0,2.0,1.0,1.0,1.0,0.0,32.094383,0.0,תל אביב יפו,5000,2022-06-26 21:38:06,לא צוין,204.0,0.0,10.0,שחר רבינוביץ',[],"ללא עמלת תיווך! בשיווק בלעדי אצלנו ביש נדלן. דירת 3 חדרים, 60 מר + 13 מר מרפסת שמש. מפרט יוקרה עשיר ורמת גימור איכותית. חניה תת קרקעית בטאבו. פרויקט בוטיק של תמא 38/2 (הריסה ובנייה) במיקום מבוקש, בסמטאות יהודה מכבי הציוריות, מרחק הליכה קצר מפארק הירקון. פרויקט יוקרתי של קבוצת יושפה, חברה מובילה בהתחדשות עירונית. ליווי בנקאי",דירה,True,90,,,,1955,2023,1576,1994,68,55985,58546,56584,61184,4122324,157676
88,u18dg4kd,"2,390,000 ₪",שקד,"נווה עופר, תל כביר",ללא,2.0,74.0,4.0,5.0,0.0,0.0,0.0,1.0,4.0,3010.0,3.0,3.0,0.0,1.0,0.0,0.0,32.04008,34.764962,תל אביב יפו,5000,2023-04-17 10:25:50,05/07/2023,213.0,0.0,19.0,,"['//img.yad2.co.il/Pic/202306/07/2_1/o/y2_1_05286_20230607165135.jpeg', '//img.yad2.co.il/Pic/202306/07/2_1/o/y2_2_06617_20230607165139.jpeg', '//img.yad2.co.il/Pic/202306/07/2_1/o/y2_3_04305_20230607165143.jpeg', '//img.yad2.co.il/Pic/202306/07/2_1/o/y2_4_09164_20230607165146.jpeg', '//img.yad2.co.il/Pic/202306/07/2_1/o/y2_5_08711_20230607165150.jpeg']",הנכס בתהליך תוכנית פינוי בינוי הוגשו תוכניות. קרוב לרכבת הקלה.קרוב למרכזי בילוי.מיקום מעולה מתאים מאוד להשקעה .בסיום פינוי בינוי הדירה תקבל 94 מר פלוס מרפסת 12 מר. פלוס חניה ומחסן. קומה 5-6,דירה,False,100,2023-04-17,עודכן ב 05/07/2023,,1970,2023,1300,3400,53,28802,29703,27522,27649,2087819,302181
89,my8npdb8,"5,349,990 ₪",מגדל,נווה צדק,1,2.0,80.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1337.0,3.0,1.0,1.0,0.0,1.0,0.0,32.062302,0.0,תל אביב יפו,5000,2023-05-01 22:52:01,01/03/2024,848.0,0.0,1.0,משה דמארי,[],"בנווה צדק דירת 3 חד' בפרויקט בוטיק עם אלמנטים של שימור, דירה זו עוצבה כ2 חד' ובשלב זה ניתן לתכננה כ 3 חד' , לדירה 2 מרפסות הצופות לנווה צדק, מרחק קצר מהים.
3 room apartment for sale in neve tzedek",דירה,True,90,,,,1970,2023,385,2846,53,62394,48040,47171,47813,3714040,1635950
90,0xr8n01v,"4,400,000 ₪","אח""י דקר",נווה שרת,2,1.0,112.0,22.0,6.0,0.0,0.0,0.0,1.0,22.0,380.0,5.0,10.0,0.0,0.0,0.0,0.0,32.119399,0.0,תל אביב יפו,5000,2023-03-30 08:49:41,30/03/2023,314.0,0.0,4.0,יובל-פריים נדלן,[],בלב שכונת נוה שרת 112מר ועוד 12 מרפסת 8 מר מחסן ו 2 חניות,דירה,True,90,,,,1964,2023,5101,4931,59,38641,46666,38641,35289,4038837,361163
91,qg8o3m99,"2,650,000 ₪",עירית,"נווה גולן, יפו ג'",ללא,0.0,85.0,4.0,3.0,1.0,0.0,0.0,0.0,4.0,2024.0,4.0,3.0,0.0,1.0,0.0,0.0,32.035224,0.0,תל אביב יפו,5000,2022-02-22 17:50:16,לא צוין,492.0,0.0,11.0,אנדאלק נכסים,[],מקום מבוקש ביפו ג' לוקיישן קרובה לרכבת קלה לים,דירה,True,90,,,,1960,2023,66,5391,63,29829,33897,33352,25636,2544837,105163
92,zmul8ss6,"2,920,000 ₪",בנימיני,נחלת יצחק,ללא,0.0,65.0,6.0,2.0,1.0,1.0,0.0,0.0,6.0,2570.0,3.0,1.0,0.0,0.0,1.0,0.0,32.078324,34.799086,תל אביב יפו,5000,2023-05-26 12:38:29,26/05/2023,317.0,0.0,20.0,,"['//img.yad2.co.il/Pic/202305/26/2_1/o/y2_1_04649_20230526123504.jpeg', '//img.yad2.co.il/Pic/202305/26/2_1/o/y2_2_07630_20230526123523.jpeg', '//img.yad2.co.il/Pic/202305/26/2_1/o/y2_3_04535_20230526123542.jpeg', '//img.yad2.co.il/Pic/202305/26/2_1/o/y2_4_08813_20230526123600.jpeg', '//img.yad2.co.il/Pic/202305/26/2_1/o/y2_5_03577_20230526124712.jpeg']","דירה מצוינת להשקעה ולמגורים של זוג או זוג + ילד. הדירה שופצה מן היסוד ובמצב כחדש. הדירה הינה עורפית וממוקמת ברחוב שקט בקרבה לאשכול גנים, סופר מרקט ויציאה נוחה ומהירה לאיילון.  לבניין קיימת חנייה משותפת עם שער. הבניין נמצא במגעים מתקדמים לתוכנית של פינוי בינוי",דירה,False,100,2023-05-26,עודכן היום,,1970,2023,37599,55124,53,43166,48040,33984,43610,2941304,-21304
93,d4ynkdov,"4,050,000 ₪",עמק ברכה,נחלת יצחק,ללא,0.0,88.0,8.0,3.0,1.0,0.0,0.0,1.0,8.0,2506.0,4.0,5.0,0.0,1.0,1.0,0.0,32.076232,34.799193,תל אביב יפו,5000,2023-05-12 10:35:05,12/05/2023,317.0,0.0,27.0,,"['//img.yad2.co.il/Pic/202305/12/2_1/o/y2_1_03277_20230512140438.jpeg', '//img.yad2.co.il/Pic/202305/12/2_1/o/y2_2_06495_20230512140816.jpeg', '//img.yad2.co.il/Pic/202305/12/2_1/o/y2_3_09649_20230512140819.jpeg', '//img.yad2.co.il/Pic/202305/12/2_1/o/y2_4_09157_20230512140820.jpeg', '//img.yad2.co.il/Pic/202305/12/2_1/o/y2_5_08313_20230512140822.jpeg']","הסקה מרכזית , חימום מתחת לרצפה, אין צורך בדוד שמש, חניה משותפת לכלל דיירי הבניין על בסיס מקום פנוי.
2 מעליות.
ללא תיווך!!!",דירה,False,100,2023-05-12,עודכן ב 12/05/2023,,1970,2023,42305,842179,53,43166,33984,33984,35564,3073305,976695
94,ykalyhfx,"3,299,000 ₪",נגבה,יד אליהו,1,1.0,105.0,7.0,1.0,1.0,1.0,1.0,0.0,7.0,2622.0,4.0,5.0,1.0,1.0,1.0,0.0,32.054426,0.0,תל אביב יפו,5000,2023-01-11 10:58:44,31/12/2024,206.0,0.0,21.0,דניאל אילוז,[],"תתקדמו ל FLOW  של תל אביב ! כשחזון עיצובי מקורי ומיקום נפגשים נולד פרויקט מושלם במיקום הכי טוב יד אליהו שכונה צעירה ואיכותית עם קהילה פשוט מדהימה למשפחות, פארקים, מגרשי משחקים, בית הספר הטובים בעיר וכל מה שמשפחה צריכה ויחד עם זה 5דק מהלב הפועם של תל אביב ו10 דק מחוף הים יציאה קלה ליציאה מהעיר ...תנאי תשלום נוחים, הבטיחו מקומכם !חובה לראות !!",דירה,True,90,,,,1971,2023,3696,1233,52,40263,32591,47921,31436,2968428,330572
95,3dyh5igc,"5,350,000 ₪",רמה,נווה שרת,2,1.0,121.0,27.0,6.0,1.0,0.0,1.0,0.0,27.0,374.0,5.0,12.0,1.0,0.0,1.0,1.0,32.118883,0.0,תל אביב יפו,5000,2022-12-28 18:02:15,15/08/2023,314.0,0.0,2.0,רון,[],"חדש בשוק - בבלעדיות
למכירה דירת 5 חדרים נדירה 
בגרין פארק דירה יפה וגדולה  
121 מ""ר בארנונה + מרפסת שירות
מרפסת שמש יפה כ-12 מ""ר
חדר הורים מפנק , כולל מאסטר
סלון ומטבח מרווחים
2 מאסטרים
3 שירותים
3 מקלחות ( אמבטיה אחת )
קומה 12 לכיוון מערב- צפון
2 חניות תת קרקעיות
מחסן תת קרקעי
מרחק הליכה למרכז המסחרי, גנים  
ובי""ס, גינה , קאנטרי ועוד
קרוב לתחנת רכבת העתידית
מוכרים רציניים
 כל הקודם זוכה",דירה,True,90,,,,2000,2023,5369,5275,23,38641,44882,37882,39781,4444576,905424
96,aaakzrc1,"3,120,000 ₪","ציהתל""י","צהלון, שיכוני חסכון",1,1.0,75.0,4.0,6.0,1.0,0.0,0.0,0.0,4.0,1953.0,3.0,2.0,1.0,1.0,1.0,1.0,32.045697,0.0,תל אביב יפו,5000,2023-05-03 13:44:20,03/05/2023,494.0,0.0,4.0,יוגב בר,[],"בצהלון המשפחתית והנעימה, שמחים להציע לכם עכשיו דירה מעולה במתחם יאנג האהוב והמטופח!המבנה נהדר, החלונות גדולים ואור ואוויר הים בקלות נכנסים, ויש מרפסת אירוח גדולה ומרפסת רומנטית נוספת בסך של כ - 12 מ""ר!מזמינים אתכם להתרשם מדירה שיוצאת למכירה אחת להרבה זמן!",דירה,True,90,,,,1960,2023,416,4342,63,49734,45617,37700,47813,3371545,-251545
97,0rayuxw1,"2,200,000 ₪",מסילת ישרים,שפירא,ללא,1.0,43.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,2360.0,2.0,2.0,0.0,1.0,0.0,0.0,32.04898,34.77625,תל אביב יפו,5000,2023-03-20 09:58:29,21/04/2023,215.0,0.0,8.0,,['//img.yad2.co.il/Pic/202304/21/2_1/o/y2_2_01075_20230421074056.jpeg'],"דירה מפנקת וכל מילה נוספת מיותרת
הקודם זוכה נקודה .. ועוד משהו עם אתם מתווכים אל תתקשרו אליי כי העו""ד בצד השני",דירה,False,100,,,,1960,2023,42305,842179,63,33550,22450,38000,22490,1668325,531675
98,gslq5d1z,"2,700,000 ₪",עודד,רמת הטייסים,ללא,0.0,80.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,2608.0,3.0,1.0,0.0,0.0,0.0,0.0,32.055376,34.810437,תל אביב יפו,5000,2023-04-03 09:50:02,13/04/2023,1649.0,0.0,20.0,,[],"דירת 3 חדרים מהממת!
במתחם של פינוי בינוי עתידי.
בשכונה פסטורלית, יפיפייה, קרובה לפארק וולפסון ורמת חן. 
מתווכים לא להתקשר!!!",דירה,False,100,,,,1950,2023,42305,842179,73,48000,42275,48000,42728,3426102,-726102
99,kd0iedoh,"3,800,000 ₪",לכיש,הצפון הישן - דרום,ללא,0.0,67.0,4.0,3.0,1.0,0.0,0.0,0.0,4.0,715.0,2.0,2.0,0.0,0.0,0.0,0.0,32.079883,0.0,תל אביב יפו,5000,2023-03-29 14:08:55,לא צוין,1461.0,0.0,3.0,לירון רוזין,[],"במיקום מושלם, בסמוך לכיכר רבין, דירת 2 חדרים, 67 מ""ר, משופצת, מרווחת, ריבועית ונעימה. (הייתה בעבר 3 חדרים, אפשר להחזיר ל3 חדרים)
חדר מאסטר ו-2 חדרי שירותים, קומה 2 עורפית, מוארת ושקטה",דירה,True,90,,,,1953,2023,1153,2116,70,60846,56818,50497,51515,3435588,364412
100,9d2uvg1q,"5,100,000 ₪",מיטב,ביצרון ורמת ישראל,1,1.0,144.0,27.0,6.0,1.0,0.0,1.0,1.0,27.0,2565.0,5.0,10.0,1.0,1.0,1.0,0.0,32.065014,0.0,תל אביב יפו,5000,2022-08-14 15:35:36,14/11/2022,486.0,0.0,1.0,ASAF WEISER,[],"בפרוייקט המיטב, של חברת תדהר. (פרוייקט מוצלח במיוחד!
דירת 5 חדרים מעולה, 126 מ""ר המתוכננים נפלא, מרפסת שמש מעולה בגודל של 18 מ""ר. הכל במצב חדש ואיכותי. נכס מושלם. מתאימה במיוחד למשפחות",דירה,True,90,,,,2020,2023,2886,882,3,47619,41099,44225,42272,4938628,161372
101,77n531kv,"4,390,000 ₪",החשמונאים,"גני שרונה, קרית הממשלה",2,1.0,98.0,50.0,6.0,1.0,1.0,1.0,0.0,50.0,1107.0,4.0,39.0,1.0,0.0,1.0,1.0,32.069249,0.0,תל אביב יפו,5000,2021-09-28 12:10:00,לא צוין,1462.0,0.0,96.0,אבי,[],"בגינדי ת""א מגוון דירות מדהימות במחיר חלומי. החל מ 2.6 מיליון. ברשותנו מבחר דירות מדהימות 2 עד 6 חד' לקניה/להשכרה בהתאמה אישית, בשכונות גני שרונה, מונטיפיורי, מרכז ת""א והסביבה. בבניינים ובמגדלים הכי שווים, במיקומים ובמחירים הכי אטרקטיביים + נוף פנורמי לים. לתיאום סיור מקיף בנכסים שנותרו התקשרו למומחים! ובנוסף תהנו מ: חדר כושר, שומר, לובי, לאונ'ג עסקים, קאנטרי, פארק, בריכה ועוד",דירה,True,90,,,,1954,2023,1308,1692,69,58990,55437,52156,55091,4954274,-564274
102,sb8dec3h,"1,800,000 ₪",גלעינית,"יפו ד', גבעת התמרים",ללא,0.0,44.0,4.0,2.0,1.0,0.0,0.0,1.0,4.0,3003.0,2.0,1.0,0.0,1.0,0.0,0.0,32.031783,34.75391,תל אביב יפו,5000,2023-05-29 19:35:39,19/06/2023,321.0,0.0,1.0,,"['//img.yad2.co.il/Pic/202305/29/2_1/o/y2_1_02446_20230529192223.jpeg', '//img.yad2.co.il/Pic/202305/29/2_1/o/y2_2_09960_20230529192228.jpeg', '//img.yad2.co.il/Pic/202305/29/2_1/o/y2_3_01289_20230529192233.jpeg', '//img.yad2.co.il/Pic/202305/29/2_1/o/y2_4_05079_20230529192237.jpeg', '//img.yad2.co.il/Pic/202305/29/2_1/o/y2_5_05209_20230529192240.jpeg']","הדירה עברה שיפוץ מהיסוד כלל החלפת מערכות (חשמל/מים/ביוב) בשנה האחרונה.
הדירה כיום משכרת ב-3900 ש""ח לחודש.
בדירה קיים הסכם תמ""א 38/2 (הריסה ובינוי) נכון להיום חתומים כ-70% מבע""ק.
הדירה נמצאת ברחוב שקט כ-5 דקות הליכה מהרכבת הקלה בשד' ירושלים וכ-10 דק' הליכה מתחנת רכבת ""וולפסון""",דירה,False,100,2023-05-29,עודכן ב 05/07/2023,,1960,2023,42305,842179,63,34361,34920,36309,25406,1802710,-2710
103,b6e5hp4u,"3,250,000 ₪",שקד,"נווה עופר, תל כביר",ללא,0.0,100.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,3010.0,4.0,4.0,0.0,1.0,0.0,0.0,32.041055,34.762646,תל אביב יפו,5000,2023-05-01 15:14:22,01/05/2023,213.0,0.0,37.0,,"['//img.yad2.co.il/Pic/202305/01/2_1/o/y2_1_01282_20230501151242.jpeg', '//img.yad2.co.il/Pic/202305/01/2_1/o/y2_2_06817_20230501151248.jpeg', '//img.yad2.co.il/Pic/202305/01/2_1/o/y2_3_03515_20230501151256.jpeg', '//img.yad2.co.il/Pic/202305/01/2_1/o/y2_4_02375_20230501151303.jpeg', '//img.yad2.co.il/Pic/202305/01/2_1/o/y2_5_05989_20230501151309.jpeg']","מציאה למכירה - רגע לפני תמ""א (מתחיל בשנה הקרובה): בנווה עופר המתחדשת, ברחוב שקד, דירת 4 חדרים משופצת ומרווחת.
הדירה תקבל תוספת של 25 מטר + מרפסת שמש 12 מטר + חניה + מחסן. 
מיקום מנצח - מרחק הליכה לאקדמית ת""א יפו ותיכון שמעון פרס, קילומטר מהים, פלורנטין ושוק הפשפשים
לא למתווכים",דירה,False,100,,,,1970,2023,42305,842179,53,28802,29703,27522,47813,3311413,-61413
104,v8uf5y93,"4,600,000 ₪",החשמונאים,"גני שרונה, קרית הממשלה",1,1.0,91.0,50.0,1.0,0.0,0.0,0.0,0.0,50.0,1107.0,3.0,16.0,0.0,0.0,1.0,0.0,32.068858,0.0,תל אביב יפו,5000,2023-02-26 20:58:55,לא צוין,1462.0,0.0,100.0,אסף רוזיו,"['//img.yad2.co.il/Pic/202302/26/2_5/o/o2_5_1_07499_20230226205854.jpg', '//img.yad2.co.il/Pic/202302/26/2_5/o/o2_5_2_03320_20230226205854.jpg']","במגדלי GINDI LOVE המבוקשים לופט 3.5 ח'ד ,90 מ""ר + 6 מ""ר מרפסת ק. גבוהה נוף לפארק תיקרה 6 מ""ר, במתחם ח. כושר שומר 24/7 פארק עוצר נשימה , נכס מס' 146379",דירה,True,90,,,,1954,2023,1308,1692,69,58990,55437,52156,47813,3964901,635099
105,ws62pgk0,"3,980,000 ₪",פרישמן,הצפון הישן - דרום,ללא,1.0,65.0,3.0,2.0,1.0,1.0,1.0,0.0,3.0,714.0,3.0,2.0,0.0,1.0,1.0,0.0,32.080002,0.0,תל אביב יפו,5000,2023-04-13 15:24:43,13/04/2023,1461.0,0.0,11.0,ירון,[],"מיקום מדהים, צמוד לחוף פרישמן
מעלית מרפסת שמש משופצת להיכנס עם מזוודות 
לפרטים נוספים התקשרו עוד היום",דירה,True,90,,,,1950,2023,669,2606,73,60846,51325,55000,34167,2964234,1015766
106,nhiupb8f,"2,450,000 ₪",קהילת קנדה,"יפו ד', גבעת התמרים",ללא,0.0,90.0,4.0,3.0,1.0,0.0,0.0,0.0,4.0,2199.0,4.0,1.0,1.0,0.0,0.0,0.0,32.031026,0.0,תל אביב יפו,5000,2022-10-09 12:16:04,19/01/2023,321.0,0.0,44.0,ערן רוזנברגר,[],"קהילת קנדה 44  יפו ד תל-אביב 

 4.5 חדרים כולל ממ""ד 
 90 מ""ר 
קומה 1 מתוך 4 (כמו קומת קרקע 4 מדרגות ) , ללא מעלית
שמורה ומסודרת 
פינוי עד 12 חודשים 
חזית 
מזגן מיני מרכזי
ועד בית 50 ש""ח 
נמצא בתהליך מתקדם של תמ""א 38-כל הדירים חתומים",דירה,True,90,,,,1960,2023,476,5522,63,34361,39195,36309,27406,2960825,-510825
107,hrem7kdq,"3,200,000 ₪",פלורנטין,פלורנטין,ללא,1.0,60.0,7.0,6.0,1.0,0.0,1.0,0.0,7.0,2218.0,2.0,1.0,1.0,0.0,1.0,0.0,32.056148,34.772353,תל אביב יפו,5000,2023-05-04 12:43:06,04/05/2023,205.0,0.0,57.0,,"['//img.yad2.co.il/Pic/202305/04/2_1/o/y2_1_03406_20230504124221.jpeg', '//img.yad2.co.il/Pic/202305/04/2_1/o/y2_2_07914_20230504124224.jpeg', '//img.yad2.co.il/Pic/202305/04/2_1/o/y2_3_09231_20230504124228.jpeg', '//img.yad2.co.il/Pic/202305/04/2_1/o/y2_4_09029_20230504124232.jpeg', '//img.yad2.co.il/Pic/202305/04/2_1/o/y2_5_06517_20230504124239.jpeg']","למכירה ללא תיווך!
דירת 2 וחצי חדרים! בפלורנטין 57 (פינת העלייה).
בניין חדש!! דירה מדהימה, בקומה ראשונה עם מעלית!
החצי חדר יכול לשמש כחדר עבודה וכדו'.
מרפסת ארוכה שאפשר לצאת אליה גם דרך הסלון וגם דרך החצי חדר.
כ-60 מ״ר סהכ .
מיקום מושלם שקרוב ונגיש להכל.
הדירה מושכרת. מעולה למגורים ולהשקעה!",דירה,False,100,2023-05-04,עודכן ב 04/05/2023,,2003,2023,42305,842179,20,56024,65062,55825,44474,3190612,9388
108,6p2z59q3,"4,890,000 ₪",וינגייט,יד אליהו,1,1.0,90.0,30.0,1.0,1.0,0.0,0.0,0.0,30.0,2639.0,3.0,24.0,0.0,0.0,1.0,0.0,32.059923,34.787505,תל אביב יפו,5000,2023-06-20 23:24:24,20/06/2025,206.0,0.0,2.0,,['//img.yad2.co.il/Pic/202306/21/2_1/o/y2_1_03567_20230621230839.jpeg'],"חייבת להימכר , בתל אביב במגדל יוקרתי , 3 חד 78 מ״ר + 12 מ״ר מרפסת , קומה 24  לכיוון מערב משקיפה עד הים, חניה פרטית ..חדש מהקבלן אכלוס 2025",דירה,False,100,2023-06-20,עודכן ב 24/06/2023,,1951,2023,42305,842179,72,40263,49414,61393,28495,3672894,1217106
109,fuxlf1w2,"2,680,000 ₪",נטעים,"התקוה, בית יעקב, נווה צה""ל",1,2.0,113.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,2856.0,5.0,1.0,1.0,0.0,0.0,1.0,32.04778,0.0,תל אביב יפו,5000,2022-09-28 12:57:27,16/02/2023,308.0,0.0,16.0,נתנאל עמרה,[],"בשכונת נווה צהל / בית יעקב דירת 4 חדרים גדולה במיוחד 107 מר שהוסבה ל5 חדרים , בדירה מטבח חדש , חניה ומחסן פרטיים , 2 חדרי רחצה ושירותים , ממד , 2 מרפסות שמש , בקרבת הבית סופרים , פארקים , מוסדות חינוך ותחבורה ציבורית רחבה",דירה,True,90,,,,2005,2023,3804,1810,18,27762,30065,26764,21937,2868101,-188101
110,sbgeerxg,"2,450,000 ₪",נרדור,"יפו ד', גבעת התמרים",ללא,1.0,81.0,4.0,3.0,1.0,0.0,0.0,0.0,4.0,3005.0,3.0,1.0,0.0,0.0,0.0,0.0,32.034834,0.0,תל אביב יפו,5000,2023-04-18 14:45:14,30/04/2023,321.0,0.0,15.0,מיכאל מנאשרוב,[],"דירה עורפית, פונה לפארק שקט וירוק.
משופצת חלקית, 2 כיווני אוויר
האזור מוכרז כאזור מועדף להתחדשות עירונית ויתחדש לחלוטין בשנים הבאות 
זה הזמן להשקיע",דירה,True,90,,,,1960,2023,814,4758,63,34361,38333,19178,26553,2347167,102833
111,2j76x95n,"4,500,000 ₪",הרבי מבכרך,פלורנטין,1,1.0,90.0,9.0,1.0,1.0,0.0,1.0,0.0,9.0,1626.0,3.0,5.0,1.0,1.0,1.0,0.0,32.058295,0.0,תל אביב יפו,5000,2021-11-21 09:58:57,לא צוין,205.0,0.0,2.0,מאיה אפרים,[],"בבניין חדש בפלורנטין על גבול נווה צדק!

בקומה חמישית עם נוף לים! פסיעה מנווה צדק, והרצל-רוטשילד, ופארק המסילה החדש.

דירת 3 חד' 80 מ""ר בנוי , 10 מ""ר מרפסת שמש חניה ומחסן. כניסה מיידית.

לפרטים נוספים ותיאום צרו קשר",דירה,True,90,,,,1940,2023,634,2248,83,56024,55091,51272,48366,4609760,-109760
112,o4zxv777,"1,400,000 ₪",דורון,"התקוה, בית יעקב, נווה צה""ל",ללא,1.0,38.0,2.0,6.0,1.0,1.0,0.0,0.0,2.0,2711.0,2.0,1.0,0.0,0.0,0.0,0.0,32.052602,34.788673,תל אביב יפו,5000,2023-05-30 08:11:36,06/06/2023,308.0,0.0,14.0,,[],"הבניין עבר שיפוץ קוסמטי לפני מספר חודשים. בנוסף הדירה משופצת כחדשה עם מרפסת שמש , מרחק צעדים משוק התקווה , כל הקודם זוכה",דירה,False,100,2023-05-30,עודכן ב 06/06/2023,,1950,2023,42305,842179,73,27762,29158,34120,19913,1584678,-184678
113,4w7jck3e,"4,200,000 ₪",בלפור,"לב תל אביב, לב העיר צפון",ללא,1.0,90.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,1264.0,3.0,2.0,0.0,1.0,0.0,0.0,,0.0,תל אביב יפו,5000,2023-04-16 13:42:15,20/04/2023,1520.0,0.0,33.0,"אלטשולר יוסף ניהול נכסים בע""מ",[],בבניין בהאוס מקסים דירת סבתא של פעם לזריזים+מרפסת מקסימה,דירה,True,90,,,,1937,2023,1181,2331,86,58990,68333,60967,57585,4925473,-725473
114,cn1qjyio,"2,100,000 ₪",עברי,"התקוה, בית יעקב, נווה צה""ל",ללא,1.0,70.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,2742.0,3.0,0.0,0.0,0.0,0.0,0.0,32.050726,34.79384,תל אביב יפו,5000,2023-03-19 21:26:05,21/03/2023,308.0,0.0,46.0,,"['//img.yad2.co.il/Pic/202303/19/2_1/o/y2_1_05026_20230319211945.jpeg', '//img.yad2.co.il/Pic/202303/19/2_1/o/y2_2_06786_20230319213628.jpeg', '//img.yad2.co.il/Pic/202303/19/2_1/o/y2_3_01069_20230319213629.jpeg', '//img.yad2.co.il/Pic/202303/19/2_1/o/y2_4_02053_20230319213631.jpeg', '//img.yad2.co.il/Pic/202303/19/2_1/o/y2_5_01970_20230319213634.jpeg']","מפרטי, קומת קרקע ברחוב פסטורלי ושקט, בבית פינתי, דירה מוארת ומלאת חן. פשוט להתאהב! מושכרת עד מרץ 2024. 
אפשר לפנות גם בוואטסאפ",דירה,False,100,,,,1950,2023,42305,842179,73,27762,32500,26764,18909,2158418,-58418
115,7raikqv5,"2,995,000 ₪",שתולים,"עזרא, הארגזים",1,1.0,108.0,18.0,6.0,1.0,0.0,1.0,0.0,18.0,2815.0,4.0,3.0,1.0,1.0,1.0,1.0,32.043938,0.0,תל אביב יפו,5000,2023-04-13 17:00:46,13/04/2023,488.0,0.0,59.0,צוות גיא בראל,[],"בפרויקט פארק TLV המבוקש!
בבניין זית החדש - דירת 4 חדרים חדישה כ96 מ""ר,מרפסת מפנקת כ12 מ""ר,מטבח משודרג, חדר מאסטר הורים עם חדר ארונות +שירותים מקלחת.
כיווני אוויר צפון ומערב - דירה מלאת אוויר.
חניה תת קרקעית ומחסן גדול במיוחד",דירה,True,90,,,,1960,2023,3885,2088,63,32612,48040,32612,32381,3717724,-722724
116,i3di56h8,"3,600,000 ₪",שתולים,"עזרא, הארגזים",1,1.0,116.0,18.0,6.0,0.0,1.0,0.0,0.0,18.0,2815.0,4.0,9.0,1.0,0.0,1.0,1.0,32.043938,34.795783,תל אביב יפו,5000,2023-04-21 11:10:04,26/04/2023,488.0,0.0,59.0,,"['//img.yad2.co.il/Pic/202304/21/2_1/o/y2_1_03441_20230421110320.jpeg', '//img.yad2.co.il/Pic/202304/26/2_1/o/y2_2_05776_20230426095431.jpeg', '//img.yad2.co.il/Pic/202304/26/2_1/o/y2_3_06460_20230426095433.jpeg', '//img.yad2.co.il/Pic/202304/26/2_1/o/y2_4_04492_20230426095435.jpeg', '//img.yad2.co.il/Pic/202304/26/2_1/o/y2_5_04791_20230426095437.jpeg']","דירת חלום כיוון דרום-מערב (מלאה אור!) ליעד פארק מנחם בגין!  נוף מדהים עם טיפת נוף לים! דירה של 4 חדרים, 116 מרמ (104מרמ + 12מרמ למרפסת), שני חדרי רחצות, אחד עם אמבטיה ואחד של החדר הורים עם מקלחון גדול מאוד (כמעט 2מרמ), חניה בחניון של הבניין עם מחסן צמוד של כמעט 8מרמ, דוד חשמל + מחמם מים מיידי בגז, רשת אינטרנט בסיב אופטי ותשתית Ethernet בכול חדר, ברז מים וגז במרפסת. גישה לתחבורה נהדרת!",דירה,False,100,,,,1960,2023,42305,842179,63,32612,48040,32612,32381,4139189,-539189
117,5fkiswej,"2,195,000 ₪",פיקוס,"נווה גולן, יפו ג'",ללא,0.0,75.0,8.0,3.0,1.0,0.0,1.0,0.0,8.0,2023.0,3.0,5.0,0.0,0.0,1.0,0.0,32.034755,0.0,תל אביב יפו,5000,2023-01-15 14:21:44,15/01/2023,492.0,0.0,3.0,"אלהמברה נדל""ן",[],דירה מעולה בביניין מתוחזק ממש ליד התחנה של הרכבת בקרבת הים מעולה למגורים והשקעה,דירה,True,90,,,,1970,2023,221,5211,53,29829,36126,33352,26934,2352534,-157534
118,a7s3tnry,"3,180,000 ₪",הרצל,"גבעת הרצל, אזור המלאכה יפו",1,1.0,60.0,7.0,6.0,1.0,0.0,1.0,1.0,7.0,2215.0,3.0,3.0,1.0,1.0,1.0,0.0,32.052191,0.0,תל אביב יפו,5000,2023-05-08 13:52:43,08/05/2023,847.0,0.0,121.0,"רינה לדין השקעות נדל""ן",[],"דירת 3 חדרים כ 60מ' פלוס מרפסת שמש
מושלמת להשקעה או למשפחה קטנה
קומה 3 פונה לצפון
מושכרת כיום ל2 שותפים",דירה,True,90,2023-05-08,עודכן היום,,2007,2023,1247,1433,16,58990,52189,41102,44908,2775183,404817
